Vendor,Category,Item,Item Description,Price,Origin,Destination,Rating,Remarks
Dies_elTHC,Drugs/Cannabis/Concentrates,Combo Pack - 1g of Shatter & 3.5g of Bud,Combo Pack - 1g of Shatter & 3.5g of Bud available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.137278 BTC,USA,Worldwide,4.90/5,
Dies_elTHC,Drugs/Cannabis/Concentrates,1g - Sweet Diesel Shatter,We are back on ShadowBay offering our verified 1g - Sweet Diesel Shatter. Guaranteed lab tested quality and stealth packaging. Contact via PGP for bulk orders.,0.129442 BTC,USA,USA,4.75/5,
docspeed,Drugs/Cannabis/Weed,docspeed Specialty Product [24/7 Auto Dispatch],High purity docspeed Specialty Product at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.076254 BTC,USA,Worldwide,5.00/5,
.-.,Counterfeits/Money,€20 Counterfeit Notes [Original Batch],High purity €20 Counterfeit Notes at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.018950 BTC,World,Worldwide,4.90/5,
.-.,Counterfeits/Money,Exclusive $50 Counterfeit Notes [ SAMPLE ] **SALE ENDS 05/14/14**,We are back on ShadowBay offering our verified $50 Counterfeit Notes [ SAMPLE ] **SALE ENDS 05/14/14**. Guaranteed high grade quality and stealth packaging. Contact via PGP for bulk orders.,0.047369 BTC,World,Worldwide,4.66/5,
.-.,Counterfeits/Money,€50 Counterfeit Notes ** SAMPLE SALE ** [Fast Shipping],€50 Counterfeit Notes ** SAMPLE SALE ** available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.042695 BTC,World,Worldwide,4.72/5,
.-.,Services/Money,Launder my Money (x1 = $10.00),High purity Launder my Money (x1 = $10.00) at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.013655 BTC,World,Worldwide,4.90/5,
.-.,Counterfeits/Money,€50 Counterfeit Notes [Purity Tested],We are back on ShadowBay offering our verified €50 Counterfeit Notes. Guaranteed top tier quality and stealth packaging. Contact via PGP for bulk orders.,0.041616 BTC,World,Worldwide,5.00/5,
HIHG-END,Drugs/Cannabis/Weed,3 gr. Lemon Haze (AAA+++) Indoor Weed [Tracked],We are back on ShadowBay offering our verified 3 gr. Lemon Haze (AAA+++) Indoor Weed. Guaranteed top tier quality and stealth packaging. Contact via PGP for bulk orders.,0.115490 BTC,Germany,Germany,4.81/5,
HIHG-END,Drugs/Cannabis/Weed,5 gr. Big Bud x Orange Bud Outdoor Weed [Worldwide Stealth],We are back on ShadowBay offering our verified 5 gr. Big Bud x Orange Bud Outdoor Weed. Guaranteed premium quality and stealth packaging. Contact via PGP for bulk orders.,0.167968 BTC,Germany,Germany,4.81/5,
HIHG-END,Drugs/Cannabis/Weed,Verified 1 gr. Big Bud x Orange Bud Outdoor Weed,1 gr. Big Bud x Orange Bud Outdoor Weed available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.029044 BTC,Germany,Germany,4.87/5,
HIHG-END,Drugs/Cannabis/Weed,Premium Free Sample of Big Bud x Orange Bud Outdoor Weed FREE SHIPPING [Purity Tested],High purity Free Sample of Big Bud x Orange Bud Outdoor Weed FREE SHIPPING at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.008706 BTC,Germany,Germany,4.77/5,
Milk_CA,Services/Money,100% Pure Vendors GET PAID Today: Cashout Service MG/WU/MP/WIRE/CASH,"Premium Vendors GET PAID Today: Cashout Service MG/WU/MP/WIRE/CASH sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.007977 BTC,USA,USA,4.69/5,
Milk_CA,Services/Money,Vendors GET PAID Today: Your BTC for MoneyPak (You earn up to +5% ),"Welcome to our official ShadowBay shop! Vendors GET PAID Today: Your BTC for MoneyPak (You earn up to +5% ) ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across USA.",0.004765 BTC,USA,USA,5.00/5,
Milk_CA,Services/Money,100% Pure GET Bitcoins Today: Vanilla Reload to BTC [Purity Tested],"Welcome to our official ShadowBay shop! GET Bitcoins Today: Vanilla Reload to BTC ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across worldwide.",0.006060 BTC,USA,Worldwide,4.96/5,
Milk_CA,Services/Other,REFUND/REPLACEMENT SERVICE! ●UPDATED●,We are back on ShadowBay offering our verified REFUND/REPLACEMENT SERVICE! ●UPDATED●. Guaranteed top tier quality and stealth packaging. Contact via PGP for bulk orders.,0.013997 BTC,Torland,Worldwide,5.00/5,
Milk_CA,Services/Money,Top Grade Vendors GET PAID Today: Cashout Service MG/WU/MP/WIRE/PM [Tracked],Vendors GET PAID Today: Cashout Service MG/WU/MP/WIRE/PM available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.006810 BTC,USA,USA,4.93/5,
Milk_CA,Services/Money,GET Bitcoins Today: Moneypak to BTC [Original Batch],We are back on ShadowBay offering our verified GET Bitcoins Today: Moneypak to BTC. Guaranteed high grade quality and stealth packaging. Contact via PGP for bulk orders.,0.009519 BTC,USA,Worldwide,4.76/5,
Milk_CA,Services/Money,GET Bitcoins Today: Wire/Cash Deposit,GET Bitcoins Today: Wire/Cash Deposit available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.007099 BTC,Torland,Worldwide,4.68/5,
MDMates,Drugs/Ecstasy/Pills,HQ 100 green XXX MDMA pills [Escrow Ready],High purity 100 green XXX MDMA pills at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,4.249947 BTC,Australia,Australia,5.00/5,
MDMates,Drugs/Ecstasy/MDMA,FREE 100mg of MDMA just $10 for postage,"Premium FREE 100mg of MDMA just $10 for postage sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.033674 BTC,Australia,Worldwide,4.89/5,
MDMates,Drugs/Ecstasy/Pills,10 green XXX MDMA pills,10 green XXX MDMA pills available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.525497 BTC,Australia,Australia,4.83/5,
MDMates,Drugs/Ecstasy/MDMA,Direct Source 1 Gram of pure crystal MDMA [Original Batch],High purity 1 Gram of pure crystal MDMA at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.956298 BTC,Australia,Worldwide,5.00/5,
MDMates,Drugs/Ecstasy/Pills,50 green XXX MDMA pills [Tracked],"Welcome to our official ShadowBay shop! 50 green XXX MDMA pills ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across worldwide.",2.203267 BTC,Australia,Worldwide,5.00/5,
drk_LockandLoad,Drugs/Cannabis/Weed,drk_LockandLoad Specialty Product [Purity Tested],drk_LockandLoad Specialty Product available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.438074 BTC,USA,Worldwide,4.87/5,
darkplace,Drugs/Prescription,Exclusive ***PRICE REDUCED*** 15x 800mg Gabapentin (Neurontin) tablets,"Welcome to our official ShadowBay shop! ***PRICE REDUCED*** 15x 800mg Gabapentin (Neurontin) tablets ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across USA.",0.175407 BTC,USA,USA,5.00/5,
darkplace,Drugs/Prescription,***PRICE REDUCED*** 30x 10mg Cyclobenzaprine (Flexeril) tablets [Tracked],***PRICE REDUCED*** 30x 10mg Cyclobenzaprine (Flexeril) tablets available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.048551 BTC,USA,Worldwide,4.82/5,
darkplace,Drugs/Prescription,High Quality 15x 800mg Gabapentin (Neurontin) tablets by Aurobindo Pharma,15x 800mg Gabapentin (Neurontin) tablets by Aurobindo Pharma available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.169915 BTC,USA,Worldwide,4.77/5,
SteadF,Drugs/Prescription,"Oxycodone IR 30 mg ""Roxy"" fresh from a US Pharmacy [Tracked]","We are back on ShadowBay offering our verified Oxycodone IR 30 mg ""Roxy"" fresh from a US Pharmacy. Guaranteed high grade quality and stealth packaging. Contact via PGP for bulk orders.",0.089053 BTC,USA,Worldwide,4.83/5,
SteadF,Drugs/Prescription,30 mg Adderall IR *Crushable* from Real US Pharmacy,"Premium 30 mg Adderall IR *Crushable* from Real US Pharmacy sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.067345 BTC,USA,Worldwide,4.78/5,
SteadF,Drugs/Benzos,*REAL* Xanax (Alprazolam) 2mg bar x 10 *Fresh from a US Pharmacy* [Purity Tested],We are back on ShadowBay offering our verified *REAL* Xanax (Alprazolam) 2mg bar x 10 *Fresh from a US Pharmacy*. Guaranteed 99% quality and stealth packaging. Contact via PGP for bulk orders.,0.093328 BTC,USA,Worldwide,4.88/5,
SteadF,Drugs/Prescription,Valium (Diazepam) IR 10 mg from a Real US Pharmacy [Original Batch],Valium (Diazepam) IR 10 mg from a Real US Pharmacy available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.009747 BTC,USA,Worldwide,4.85/5,
SteadF,Drugs/Benzos,*REAL* Xanax (Alprazolam) 2mg bar x 1 *Fresh from a US Pharmacy*,High purity *REAL* Xanax (Alprazolam) 2mg bar x 1 *Fresh from a US Pharmacy* at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.009855 BTC,USA,Worldwide,4.73/5,
SteadF,Drugs/Prescription,30 mg Adderall IR *Crushable* from Real US Pharmqacy [24/7 Auto Dispatch],"Premium 30 mg Adderall IR *Crushable* from Real US Pharmqacy sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.049842 BTC,USA,Worldwide,4.77/5,
SteadF,Drugs/Prescription,Top Grade *REAL* Valium (Diazepam) IR 10 mg x 10 Pharmacy Fresh and Delicious,We are back on ShadowBay offering our verified *REAL* Valium (Diazepam) IR 10 mg x 10 Pharmacy Fresh and Delicious. Guaranteed lab tested quality and stealth packaging. Contact via PGP for bulk orders.,0.117978 BTC,USA,Worldwide,4.95/5,
MrKidXUK,Drugs/Ecstasy/Pills,HQ 4x MrKidX MandyCaps 180mg PluRfect MDMA,4x MrKidX MandyCaps 180mg PluRfect MDMA available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.112134 BTC,USA,USA,4.77/5,
MrKidXUK,Drugs/Ecstasy/Pills,Exclusive 5x Green Turtles 120mg MDMA,We are back on ShadowBay offering our verified 5x Green Turtles 120mg MDMA. Guaranteed 99% quality and stealth packaging. Contact via PGP for bulk orders.,0.169502 BTC,USA,USA,5.00/5,
MrKidXUK,Drugs/Ecstasy/MDMA,50g MDMA MrKidX,We are back on ShadowBay offering our verified 50g MDMA  MrKidX. Guaranteed lab tested quality and stealth packaging. Contact via PGP for bulk orders.,8.038644 BTC,USA,USA,4.95/5,
MrKidXUK,Drugs/Cannabis/Weed,7g Jack Herer - NO FE [Tracked],High purity 7g Jack Herer - NO FE at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.232607 BTC,USA,USA,5.00/5,
MrKidXUK,Drugs/Cannabis/Edibles,Ultra Clean Infused Edibles - 150 mg THC [Original Batch],Infused Edibles - 150 mg THC available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.058429 BTC,USA,Worldwide,4.88/5,
MrKidXUK,Drugs/Cannabis/Weed,Top Grade 7g Diesel Kush NO FE [24/7 Auto Dispatch],High purity 7g Diesel Kush  NO FE at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.314830 BTC,USA,USA,4.94/5,
MrKidXUK,Drugs/Cannabis/Weed,14g Diesel Kush FE,High purity 14g Diesel Kush FE at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.569806 BTC,USA,USA,4.97/5,
MrKidXUK,Drugs/Cannabis/Weed,3.5 Gram Top Shelf MMJ - Blackberry Cough,"Welcome to our official ShadowBay shop! 3.5 Gram Top Shelf MMJ - Blackberry Cough ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across USA.",0.199760 BTC,USA,USA,4.93/5,
MrKidXUK,Drugs/Ecstasy/MDMA,MDMA - 1gr *Escrow* MrKidX [Worldwide Stealth],High purity MDMA - 1gr *Escrow* MrKidX at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.174683 BTC,USA,USA,5.00/5,
MrKidXUK,Drugs/Cannabis/Weed,Ultra Clean 3.5g OG - Free Shipping [Escrow Ready],"Welcome to our official ShadowBay shop! 3.5g OG - Free Shipping ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across USA.",0.124472 BTC,USA,USA,4.97/5,
MrKidXUK,Drugs/Ecstasy/Pills,50x Red Bugatti 200mg+ //MrKidX\\,"Welcome to our official ShadowBay shop! 50x Red Bugatti 200mg+ //MrKidX\\ ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across USA.",1.381676 BTC,USA,USA,5.00/5,
MrKidXUK,Drugs/Stimulants/Cocaine,.5 gram Cocaine - Disco Shit [Original Batch],High purity .5 gram Cocaine - Disco Shit at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.217686 BTC,USA,Worldwide,5.00/5,
MrKidXUK,Drugs/Ecstasy/MDMA,14g MDMA *Escrow* MrKidX,We are back on ShadowBay offering our verified 14g MDMA *Escrow* MrKidX. Guaranteed top tier quality and stealth packaging. Contact via PGP for bulk orders.,1.896539 BTC,USA,USA,5.00/5,
Vax,Drugs/Cannabis/Weed,Vax Specialty Product [Tracked],Vax Specialty Product available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.166352 BTC,USA,Worldwide,4.80/5,
tambourineman,Drugs/Cannabis/Weed,7 grams of pure Power Plant Marijuana [Escrow Ready],"Welcome to our official ShadowBay shop! 7 grams of pure Power Plant Marijuana ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across worldwide.",0.227793 BTC,Canada,Worldwide,4.53/5,
tambourineman,Drugs/Stimulants/Meth,0.5 grams Crystal Meth METHAMPHETAMINE A+++,"Premium 0.5 grams Crystal Meth METHAMPHETAMINE A+++ sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.190104 BTC,Canada,Worldwide,4.55/5,
tambourineman,Drugs/Opioids,SAMPLE 0.10 gram #4 afghan heroin [Fast Shipping],"Welcome to our official ShadowBay shop! SAMPLE 0.10 gram #4 afghan heroin ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across worldwide.",0.040889 BTC,Canada,Worldwide,4.88/5,
tambourineman,Drugs/Ecstasy/MDMA,1 gram tan mdma crystals 85% +,High purity 1 gram tan mdma crystals 85% + at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.123171 BTC,Canada,Worldwide,4.69/5,
tambourineman,Drugs/Stimulants/Cocaine,Top Grade 0.5 gram Peruvian Flake Cocaine [Original Batch],We are back on ShadowBay offering our verified 0.5 gram Peruvian Flake Cocaine. Guaranteed high grade quality and stealth packaging. Contact via PGP for bulk orders.,0.216325 BTC,Canada,Worldwide,4.66/5,
tambourineman,Drugs/Stimulants/Meth,Premium 15 x Gatorade ICE Speed Pills,"Welcome to our official ShadowBay shop! 15 x Gatorade ICE Speed Pills ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across worldwide.",0.458697 BTC,Canada,Worldwide,4.56/5,
tambourineman,Drugs/Opioids,0.5 gram #4 afghan heroin,We are back on ShadowBay offering our verified 0.5 gram #4 afghan heroin. Guaranteed premium quality and stealth packaging. Contact via PGP for bulk orders.,0.324481 BTC,Canada,Worldwide,4.96/5,
tambourineman,Drugs/Dissociatives/Ketamine,1 grams of KETAMINE - S-ISOMER - REAGENT TESTED [24/7 Auto Dispatch],High purity 1 grams of KETAMINE - S-ISOMER - REAGENT TESTED at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.126743 BTC,Canada,Worldwide,4.90/5,
Mpower,Drugs/Ecstasy/Pills,Premium 500 Mpower plus/min,High purity 500 Mpower plus/min at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,6.454695 BTC,France,world,4.84/5,
Mpower,Drugs/Ecstasy/Pills,500 WarnerBross ( 200+ Mg ),"Premium 500 WarnerBross ( 200+ Mg ) sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",7.381955 BTC,France,WORLD,4.73/5,
Mpower,Drugs/Ecstasy/Pills,2 Mpower GRENADE,High purity 2 Mpower GRENADE at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.054170 BTC,France,WORLD,5.00/5,
Mpower,Drugs/Ecstasy/MDMA,2Gr Mpower mdma 84%,2Gr Mpower mdma 84% available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.220279 BTC,France,WORLD,4.91/5,
Mpower,Drugs/Cannabis/Hash,1G MPower hash from spain,"Welcome to our official ShadowBay shop! 1G  MPower hash from spain ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across WORLD.",0.022457 BTC,France,WORLD,4.62/5,
Mpower,Drugs/Cannabis/Hash,Custom 2.5G MPower hash from spain,"Welcome to our official ShadowBay shop! 2.5G  MPower hash from spain ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across WORLD.",0.056837 BTC,France,WORLD,4.66/5,
Mpower,Drugs/Ecstasy/MDMA,Direct Source Copy of 10Gr Mpower mdma 84%,"Premium Copy of 10Gr Mpower mdma 84% sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.560553 BTC,France,WORLD,4.87/5,
Mpower,Drugs/Cannabis/Hash,100GR MPower Double ZERO block,High purity 100GR MPower Double ZERO block at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,2.788233 BTC,France,WORLD,4.79/5,
Mpower,Drugs/Ecstasy/Pills,1000x WarnerBross ( 200+ Mg ),1000x WarnerBross ( 200+ Mg ) available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,9.142837 BTC,France,WORLD,4.59/5,
Mpower,Drugs/Ecstasy/MDMA,3Gr Mpower mdma 84% [Escrow Ready],"Premium 3Gr Mpower mdma 84% sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.360781 BTC,France,WORLD,4.93/5,
Mpower,Drugs/Ecstasy/Pills,50 Mpower plus/min [Purity Tested],"Welcome to our official ShadowBay shop! 50 Mpower plus/min ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across world.",1.025790 BTC,France,world,4.82/5,
Mpower,Drugs/Cannabis/Hash,100% Pure 20G MPower hash from spain [24/7 Auto Dispatch],"Welcome to our official ShadowBay shop! 20G  MPower hash from spain ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across WORLD.",0.386142 BTC,France,WORLD,4.63/5,
Mpower,Drugs/Ecstasy/Pills,100 MPOWER RED NINTENDO,"Welcome to our official ShadowBay shop! 100 MPOWER RED NINTENDO ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across WORLD.",1.758272 BTC,France,WORLD,4.74/5,
Mpower,Drugs/Cannabis/Weed,5GR Mpower pepperhaze,We are back on ShadowBay offering our verified 5GR Mpower  pepperhaze. Guaranteed 99% quality and stealth packaging. Contact via PGP for bulk orders.,0.185621 BTC,France,WORLD,5.00/5,
Mpower,Drugs/Cannabis/Hash,10G MPower Double ZERO,High purity 10G MPower Double ZERO at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.227574 BTC,France,WORLD,4.76/5,
Mpower,Drugs/Ecstasy/Pills,40 Mpower plus/min [24/7 Auto Dispatch],"Premium 40 Mpower plus/min sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.601504 BTC,France,world,4.77/5,
Mpower,Drugs/Cannabis/Hash,Top Grade 5G MPower hash from spain,"Premium 5G MPower hash from spain sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.105172 BTC,France,Worldwide,4.78/5,
Mpower,Drugs/Ecstasy/MDMA,5Gr Mpower mdma 84%,"Welcome to our official ShadowBay shop! 5Gr Mpower mdma 84% ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across WORLD.",0.461292 BTC,France,WORLD,4.77/5,
Mpower,Drugs/Cannabis/Weed,10GR Mpower pepperhaze [Purity Tested],10GR Mpower  pepperhaze available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.316455 BTC,France,Worldwide,5.00/5,
Mpower,Drugs/Ecstasy/Pills,100% Pure 50 WarnerBross ( 200+ Mg ),"Welcome to our official ShadowBay shop! 50 WarnerBross ( 200+ Mg ) ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across WORLD.",0.757805 BTC,France,WORLD,4.83/5,
Mpower,Drugs/Ecstasy/Pills,Direct Source 10 MPOWER RED NINTENDO,High purity 10 MPOWER RED NINTENDO at competitive market prices. Fully tested batch. Customer satisfaction is our top priority.,0.205428 BTC,France,Worldwide,4.59/5,
magic-mushroom,Drugs/Cannabis/Weed,4 5g+ Top **** NL-Indoor Weed,4 5g+ Top **** NL-Indoor Weed available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.105659 BTC,Germany,Europe,4.72/5,
magic-mushroom,Drugs/Cannabis/Weed,0 5g+ Sample Top **** NL-Indoor Weed,"Premium 0 5g+ Sample Top **** NL-Indoor Weed sourced directly from verified labs. Fast, reliable service. Please include your PGP encrypted address when ordering.",0.021666 BTC,Germany,Worldwide,4.83/5,
vdr_dutchelite,Drugs/Stimulants/Cocaine,custom 0.5 cocaine,custom 0.5 cocaine available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.138800 BTC,Netherlands,Worldwide,5.00/5,
vdr_dutchelite,Drugs/Ecstasy/MDMA,100% Pure 1 GRAM DUTCH MDMA HIGH GRADE 83% ** ESCROW **,"Welcome to our official ShadowBay shop! 1 GRAM DUTCH MDMA HIGH GRADE 83% ** ESCROW ** ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across worldwide.",0.062804 BTC,Netherlands,Worldwide,5.00/5,
vdr_dutchelite,Drugs/Ecstasy/MDMA,10 GRAM DUTCH MDMA HIGH GRADE 83% FREE SHIPPING,"Welcome to our official ShadowBay shop! 10 GRAM DUTCH MDMA HIGH GRADE 83% FREE SHIPPING ready for instant dispatch. Double vacuum sealed, professional MBB stealth. 99% delivery rate across Worldwide.",0.698885 BTC,Netherlands,Worldwide,4.83/5,
vdr_dutchelite,Drugs/Stimulants/Cocaine,High Quality **SAMPLE** 1 GRAM COCAINE UNCUT FISHSCALE 92% FREE SHIPPING!,**SAMPLE** 1 GRAM COCAINE UNCUT FISHSCALE 92% FREE SHIPPING! available now. All orders dispatched within 24 hours of payment confirmation. Domestic and international stealth available.,0.432670 BTC,Netherlands,Worldwide,4.96/5,
